# id,alpha
1,2.68459
2,3.55035
3,4.30060
4,2.86965
5,2.45635
6,4.78176
7,3.25940
8,3.11848
9,1.59386
10,2.93288
11,2.27766
12,3.36412
13,3.27756
14,3.51943
15,3.53716
16,6.11450
17,3.40260
18,2.70792
19,3.06128
20,6.57523
21,2.59790
22,2.48455
23,2.68167
24,2.83022
25,3.37362
26,3.40370
27,4.24830
28,3.46213
29,2.89248
30,4.96684
31,3.26760
32,3.47736
33,8.89709
34,4.10246
35,3.11392
36,2.89503
37,3.54271
38,3.72109
39,2.89074
40,4.35743
41,3.01458
42,1.57362
43,2.66786
44,2.70157
45,6.39744
46,2.20994
47,3.30313
48,3.43038
49,2.71096
50,3.87888
51,3.16986
52,3.36257
53,2.79339
54,6.14245
55,4.00439
56,1.17472
57,3.00414
58,7.09504
59,3.19667
60,2.55052
61,3.69989
62,3.84400
63,2.81771
64,2.48270
65,3.23642
66,3.35971
67,2.27730
68,3.86584
69,1.92738
70,4.20984
71,3.71596
72,3.27160
73,4.39252
74,3.28947
75,1.47918
76,2.83524
77,3.24701
78,2.54416
79,2.50346
80,0.74748
81,3.98314
82,2.19480
83,1.97300
84,2.41358
85,2.49718
86,4.16418
87,1.83778
88,3.98998
89,3.45375
90,4.02346
91,3.44147
92,2.05502
93,3.38399
94,3.33109
95,3.20314
96,2.99121
97,3.37136
98,2.74666
99,3.28855
100,6.11565
101,3.72775
102,2.12141
103,4.17153
104,4.82285
105,2.41115
106,2.45108
107,2.56682
108,2.82516
109,2.53178
110,3.58273
111,2.64294
112,3.79612
113,3.35401
114,3.10409
115,2.11254
116,2.00237
117,7.70461
118,3.90421
119,3.76424
120,2.50634
121,1.98643
122,3.65227
123,4.67232
124,2.92728
125,3.85679
126,3.30761
127,3.30639
128,2.48651
129,2.72952
130,5.37117
131,2.40140
132,2.76233
133,2.02813
134,3.53498
135,3.27589
136,2.63595
137,4.01340
138,2.16982
139,3.38180
140,2.41089
141,3.50238
142,2.84899
143,3.03463
144,2.69936
145,4.37741
146,3.26417
147,2.56370
148,2.68135
149,3.25567
150,3.27229
151,2.15009
152,2.68903
153,2.13895
154,3.99543
155,2.70014
156,3.46431
157,1.64054
158,2.40703
159,3.58885
160,3.95601
161,3.28772
162,2.32574
163,1.88001
164,5.73078
165,2.65365
166,3.62267
167,4.85158
168,2.10619
169,2.20517
170,2.50071
171,2.44183
172,2.67058
173,2.63823
174,2.09495
175,3.70779
176,2.85686
177,3.07792
178,2.49661
179,2.39735
180,3.26684
181,2.54734
182,2.32819
183,2.12148
184,3.46934
185,2.21902
186,2.55142
187,1.69145
188,3.56807
189,2.13138
190,3.46814
191,3.68771
192,3.54327
193,3.61996
194,7.22544
195,2.51822
196,3.91281
197,1.64934
198,3.17288
199,2.33279
200,3.70115
201,3.42682
202,2.50299
203,7.65095
204,3.05440
205,2.90839
206,1.96303
207,3.13886
208,2.74607
209,6.74146
210,3.38150
211,6.45214
212,3.45723
213,1.96786
214,6.04551
215,2.82933
216,8.19534
