# id,alpha
1,1.58965
2,1.80233
3,1.37644
4,1.23904
5,1.69121
6,1.26965
7,1.85067
8,1.82654
9,2.22522
10,1.56653
11,1.50290
12,2.07925
13,1.72462
14,1.54886
15,1.40893
16,1.38731
17,1.70900
18,1.99368
19,1.24318
20,1.67064
21,2.30005
22,1.65717
23,1.71787
24,1.67375
25,1.48454
26,1.43631
27,1.44459
28,1.35588
29,1.39959
30,1.47612
31,1.64313
32,1.42702
33,1.57776
34,1.52049
35,1.97692
36,1.47797
37,1.24437
38,1.74647
39,1.46473
40,1.59427
41,1.35117
42,1.22842
43,1.34428
44,2.49424
45,1.14456
46,1.49803
47,1.63264
48,1.25458
49,1.10311
50,1.47922
51,1.72819
52,1.41534
53,1.38858
54,1.88771
55,1.34344
56,1.76516
57,1.36100
58,1.45649
