# id,beta
1,2.03415
2,3.22081
3,2.23826
4,1.17343
5,1.41573
6,2.51477
7,1.58572
8,1.25905
9,3.91155
10,2.12703
11,3.18295
12,1.45943
13,1.26822
14,2.15556
15,1.05667
16,1.12299
17,100.09581
18,276.96231
19,5.58783
20,61.08126
21,1.28927
22,1.76205
23,1.02616
24,1.15784
25,1.01705
26,1.02059
27,3.96593
28,1.03030
29,1.00591
30,1.00204
31,19.48963
32,1.00117
33,17.64604
34,18.84308
35,8.98231
36,1.01034
37,1.89393
38,2.08745
39,1.23348
40,1.22017
41,3.38126
42,2.55046
43,1.41499
44,1.28518
45,1.27350
46,1.78198
47,1.07296
48,1.13246
49,12.64428
50,2.94659
51,4.85455
52,10.13860
53,2.32663
54,1.38630
55,1.55095
56,1.17244
57,1.36363
58,3.43021
59,1.09457
60,1.47402
61,3.79836
62,4.50039
63,2.15729
64,2.23535
65,89.05402
66,12.88032
67,2.48026
68,7.51208
69,2.14937
70,2.90281
71,1.53788
72,1.25969
73,2.15171
74,2.77375
75,6.23633
76,1.60291
77,1.00893
78,1.58770
79,1.17142
80,1.13391
81,1.18019
82,1.50347
83,1.19381
84,1.11325
85,1.99240
86,2.23388
87,1.11286
88,2.65273
89,1.21842
90,1.21672
91,1.18625
92,1.02281
93,4.22932
94,5.75717
95,1.51280
96,1.38464
97,1.91040
98,2.89479
99,1.21040
100,1.27011
101,2.29215
102,3.27810
103,4.44593
104,1.69547
105,1.33535
106,2.55113
107,1.48986
108,1.13066
109,7.50336
110,15.65410
111,1.56876
112,1.66906
113,2.59582
114,1.86652
115,1.55950
116,1.58416
117,1.77814
118,2.67445
119,1.11996
120,1.26422
121,1.77288
122,3.49098
123,1.15250
124,1.70746
125,6.71897
126,6.39470
127,2.36983
128,2.86161
129,2.48476
130,6.43231
131,1.29536
132,1.37725
133,1.43821
134,7.47428
135,4.58925
136,1.24030
137,4.17414
138,1.76598
139,1.30786
140,1.87402
141,3.51585
142,5.72673
143,1.36493
144,1.73380
145,11.88654
146,3.55686
147,9.85540
148,2.98126
149,1.61645
150,3.21483
151,1.29834
152,1.04985
153,2.00715
154,5.02955
155,1.15578
156,1.42431
157,2.24897
158,3.11450
159,1.04242
160,1.44083
161,1.03891
162,1.00939
163,20.10682
164,1.00167
165,3.41483
166,2.90330
167,1.94982
168,1.95100
169,1.00269
170,1.01367
171,2.60640
172,1.10840
173,1.88909
174,2.29037
175,1.04874
176,1.56760
177,3.79316
178,3.42395
179,2.00991
180,1.58162
181,2.61568
182,12.31185
183,1.79658
184,1.39214
185,1.54142
186,3.13826
187,2.15406
188,1.54509
189,1.43712
190,2.94143
191,1.36287
192,1.58761
193,2.77032
194,4.38681
195,2.58523
196,1.82000
197,8.77482
198,10.96924
199,7.16515
200,1.71098
201,3.95876
202,4.42150
203,1.65354
204,1.42931
205,5.01977
206,1.03485
207,2.58573
208,1.52328
209,1.89188
210,1.45773
211,1.24786
212,1.48238
213,3.56526
214,3.44849
215,1.77749
216,1.25601
217,19.09089
218,23.47671
219,21.70774
220,2.11522
221,1.87607
222,1.98655
223,2.64472
224,1.28970
225,3.61697
226,4.47216
227,2.57840
228,2.02185
229,4.64669
230,8.61251
231,2.13106
232,1.69790
233,1.65184
234,2.36150
235,1.57182
236,1.28766
237,4.58702
238,3.71251
239,5.91344
240,1.08171
241,3.49226
242,1.06819
243,1.76981
244,1.52667
245,3.48403
246,5.85483
247,5.75601
248,1.82005
249,2.05384
250,3.53093
