# id,beta
1,3.22077
2,2.71828
3,3.19437
4,2.91848
5,3.58201
6,2.78892
7,3.40611
8,3.35756
9,3.72748
10,2.94177
11,3.52269
12,3.06623
13,2.94047
14,2.79440
15,2.96880
16,3.40504
17,3.58138
18,2.94785
19,3.23566
20,3.51096
21,3.13034
22,2.80888
23,3.22054
24,3.31713
25,2.96741
26,2.86033
27,3.38868
28,3.32954
29,3.17142
30,3.04267
31,3.28696
32,3.35700
33,2.96756
34,2.91422
35,3.34886
36,3.09810
37,3.22935
38,2.95775
39,3.69360
40,3.34141
41,3.07700
42,2.84121
43,3.30776
44,3.43588
45,3.26920
46,2.80845
47,3.72461
48,3.28561
49,3.52164
50,2.97810
51,3.62881
52,3.88606
53,3.00022
54,2.98642
55,3.29063
56,2.87562
57,3.36315
58,2.80020
59,3.22951
60,3.10492
61,3.07410
62,2.82800
63,3.05352
64,2.94121
65,3.67056
66,2.95086
67,3.24187
68,3.01605
69,2.98253
70,2.75855
71,3.38854
72,3.18655
73,2.96910
74,2.79352
75,3.05715
76,2.76029
77,3.28042
78,2.93159
79,3.04088
80,3.09916
81,3.68231
82,3.26290
83,3.22163
84,3.04564
85,3.66085
86,2.87456
87,3.31960
88,3.10950
89,3.03722
90,2.94257
91,3.38633
92,2.96607
93,3.31516
94,2.86307
95,2.80816
96,2.99361
97,3.36405
98,2.79436
99,3.20223
100,3.34928
101,3.07176
102,3.06153
103,3.16145
104,3.12110
105,2.97907
106,2.67910
107,3.02844
108,2.81954
109,3.13718
110,2.75987
111,3.20737
112,3.10995
113,3.17758
114,2.90552
115,3.33028
116,3.18609
117,2.91307
118,2.78225
119,2.86248
120,3.00410
121,2.97133
122,2.84862
123,3.32241
124,3.22139
125,4.15841
126,3.02242
127,3.49969
128,3.56403
129,3.13155
130,3.04852
131,3.46281
132,3.06075
133,3.27459
134,3.16241
135,3.24263
136,3.31099
137,2.71661
138,2.78702
139,2.90996
140,2.98345
141,3.27040
142,2.89261
143,3.23640
144,2.83875
145,2.99919
146,2.82690
147,3.13904
148,2.82115
149,3.32274
150,2.91139
151,4.02856
152,3.36383
153,3.13707
154,3.15967
155,3.38728
156,3.20620
157,3.02764
158,2.83638
159,3.14488
160,3.35515
161,3.46968
162,3.12377
163,3.41562
164,3.29987
165,2.82391
166,2.84943
167,2.88198
168,3.15103
169,2.91366
170,2.72790
171,2.89347
172,2.87803
173,3.03542
174,2.88563
175,3.43014
176,3.39408
177,2.89344
178,2.75282
179,2.73995
180,2.91977
181,3.11181
182,2.96483
183,4.02052
184,3.51665
185,3.31300
186,2.90424
187,3.04817
188,3.02968
189,3.33425
190,3.18530
191,3.84634
192,3.23027
193,3.54106
194,3.39378
195,3.62026
196,3.12719
197,3.08941
198,2.73320
199,3.42169
200,3.36074
201,3.39117
202,2.81892
203,3.44854
204,3.21762
205,3.52326
206,3.14296
207,3.50269
208,3.31310
209,3.33475
210,2.78484
211,3.47374
212,3.32936
213,3.28197
214,2.80820
215,3.19610
216,2.96586
217,3.10476
218,2.85565
219,3.13150
220,2.91949
221,3.18335
222,2.92690
223,3.25726
224,3.45726
225,2.98070
226,2.91561
227,3.29575
228,3.28573
229,3.03911
230,2.99992
231,3.28760
232,3.03147
