2920 58 58 3
0 0 [0.05852817 0.45610067 0.48537116]
0 1 [0.0, 0.0, 0.0] 
0 2 [0.0, 0.0, 0.0] 
0 3 [0.36182255 0.437123   0.20105444] 
1 0 [0.13567257 0.42925256 0.43507487] 
1 1 [0.0, 0.0, 0.0] 
1 2 [0.0772459  0.43548149 0.48727261] 
1 3 [0.13607244 0.44447151 0.41945604] 
2 0 [0.25439169 0.38743804 0.35817027] 
2 1 [0.0, 0.0, 0.0] 
2 2 [0.14523491 0.43245674 0.42230835] 
2 3 [0.0665206  0.44898861 0.48449079] 
3 0 [0.22735735 0.43237058 0.34027207] 
3 1 [0.0, 0.0, 0.0] 
3 2 [0.0, 0.0, 0.0] 
3 3 [0.0, 0.0, 0.0] 
4 0 [0.56351398 0.31850023 0.11798579] 
4 1 [0.0, 0.0, 0.0] 
4 2 [0.24561592 0.49032718 0.2640569 ] 
4 3 [0.24522733 0.38986191 0.36491076] 
5 0 [0.0, 0.0, 0.0] 
5 1 [0.0, 0.0, 0.0] 
5 2 [0.15556102 0.48101867 0.3634203 ] 
5 3 [0.0, 0.0, 0.0] 
6 0 [0.0760532  0.43926497 0.48468183] 
6 1 [0.0, 0.0, 0.0] 
6 2 [0.16380675 0.43502644 0.40116681] 
6 3 [0.0, 0.0, 0.0] 
7 0 [0.14547419 0.42400152 0.43052429] 
7 1 [0.0, 0.0, 0.0] 
7 2 [0.0742903  0.43581885 0.48989085] 
7 3 [0.0, 0.0, 0.0] 
8 0 [0.0689504  0.44340962 0.48763998] 
8 1 [0.0, 0.0, 0.0] 
8 2 [0.10122545 0.43508614 0.46368841] 
8 3 [0.0, 0.0, 0.0] 
9 4 [0.0529796  0.46132592 0.48569448] 
9 5 [0.0, 0.0, 0.0] 
9 6 [0.27613849 0.44829236 0.27556915] 
9 7 [0.21081234 0.44254911 0.34663855] 
0 4 [0.05675464 0.45732875 0.48591661] 
0 5 [0.0, 0.0, 0.0] 
0 6 [0.26461552 0.42063423 0.31475025] 
0 7 [0.05630393 0.4586478  0.48504827] 
10 4 [0.05169246 0.46314588 0.48516166] 
10 5 [0.0, 0.0, 0.0] 
10 6 [0.13219279 0.41350513 0.45430207] 
10 7 [0.26458575 0.42266496 0.31274929] 
11 4 [0.07272131 0.4385764  0.48870229] 
11 5 [0.0, 0.0, 0.0] 
11 6 [0.15620332 0.40202125 0.44177543] 
11 7 [0.07099651 0.45552367 0.47347982] 
12 4 [0.06256221 0.45732041 0.48011737] 
12 5 [0.31518759 0.44915853 0.23565388] 
12 6 [0.06536708 0.45166525 0.48296767] 
12 7 [0.0, 0.0, 0.0] 
3 4 [0.53543309 0.33710955 0.12745736] 
3 5 [0.0, 0.0, 0.0] 
3 6 [0.0, 0.0, 0.0] 
3 7 [0.08295275 0.44449581 0.47255145] 
13 4 [0.08267565 0.44288298 0.47444136] 
13 5 [0.0, 0.0, 0.0] 
13 6 [0.07355745 0.45904195 0.4674006 ] 
13 7 [0.04546773 0.46898703 0.48554524] 
14 4 [0.04345015 0.47238876 0.48416108] 
14 5 [0.0, 0.0, 0.0] 
14 6 [0.0863141  0.44778719 0.46589871] 
14 7 [0.16164688 0.41667091 0.42168221] 
8 4 [0.07955783 0.42782501 0.49261716] 
8 5 [0.0, 0.0, 0.0] 
8 6 [0.08565136 0.44817324 0.4661754 ] 
8 7 [0.0, 0.0, 0.0] 
15 4 [0.18429385 0.42228338 0.39342278] 
15 5 [0.15758799 0.41827651 0.4241355 ] 
15 6 [0.16655503 0.37815583 0.45528914] 
15 7 [0.08183865 0.42587627 0.49228508] 
16 8 [0.0, 0.0, 0.0] 
16 9 [0.0, 0.0, 0.0] 
16 10 [0.07416173 0.43849743 0.48734084] 
16 11 [0.0, 0.0, 0.0] 
17 8 [0.05202112 0.46264157 0.48533731] 
17 9 [0.0, 0.0, 0.0] 
17 10 [0.11839161 0.4226722  0.45893619] 
17 11 [0.0, 0.0, 0.0] 
0 8 [0.06336097 0.45091153 0.4857275 ] 
0 9 [0.11485968 0.43498804 0.45015229] 
0 10 [0.0, 0.0, 0.0] 
0 11 [0.08938344 0.43538916 0.4752274 ] 
1 8 [0.08159122 0.44582135 0.47258743] 
1 9 [0.13869474 0.42624824 0.43505702] 
1 10 [0.14955343 0.4007164  0.44973017] 
1 11 [0.0, 0.0, 0.0] 
12 8 [0.1217053  0.43186247 0.44643224] 
12 9 [0.0, 0.0, 0.0] 
12 10 [0.0775198  0.44543528 0.47704493] 
12 11 [0.16324497 0.41009168 0.42666336] 
18 8 [0.12798015 0.43194496 0.44007489] 
18 9 [0.0, 0.0, 0.0] 
18 10 [0.15014195 0.48751961 0.36233844] 
18 11 [0.0, 0.0, 0.0] 
3 8 [0.07137718 0.45076488 0.47785794] 
3 9 [0.0, 0.0, 0.0] 
3 10 [0.37852074 0.36206119 0.25941807] 
3 11 [0.0, 0.0, 0.0] 
19 8 [0.0, 0.0, 0.0] 
19 9 [0.29229407 0.43723331 0.27047262] 
19 10 [0.14994487 0.40832185 0.44173328] 
19 11 [0.0, 0.0, 0.0] 
13 8 [0.0, 0.0, 0.0] 
13 9 [0.0, 0.0, 0.0] 
13 10 [0.0668041  0.44520295 0.48799294] 
13 11 [0.29541843 0.42175724 0.28282433] 
20 8 [0.13441825 0.40419291 0.46138884] 
20 9 [0.0, 0.0, 0.0] 
20 10 [0.06044247 0.45741649 0.48214104] 
20 11 [0.11134408 0.42461899 0.46403694] 
7 8 [0.08066002 0.43764892 0.48169106] 
7 9 [0.0, 0.0, 0.0] 
7 10 [0.0, 0.0, 0.0] 
7 11 [0.13331648 0.42320684 0.44347668] 
8 8 [0.10278077 0.42959025 0.46762898] 
8 9 [0.57880548 0.29499663 0.12619789] 
8 10 [0.22557057 0.4869484  0.28748103] 
8 11 [0.0, 0.0, 0.0] 
21 8 [0.08130519 0.44253002 0.47616479] 
21 9 [0.12730566 0.41277084 0.4599235 ] 
21 10 [0.18530439 0.42312949 0.39156612] 
21 11 [0.0, 0.0, 0.0] 
9 12 [0.0894156  0.42970739 0.48087702] 
9 13 [0.0, 0.0, 0.0] 
9 14 [0.0, 0.0, 0.0] 
9 15 [0.0, 0.0, 0.0] 
17 12 [0.71955231 0.22220332 0.05824438] 
17 13 [0.0, 0.0, 0.0] 
17 14 [0.42808725 0.39990775 0.172005  ] 
17 15 [0.44107781 0.35510379 0.20381841] 
0 12 [0.28588327 0.48669909 0.22741764] 
0 13 [0.0, 0.0, 0.0] 
0 14 [0.22872246 0.43230067 0.33897687] 
0 15 [0.06367641 0.45032315 0.48600044] 
22 12 [0.0, 0.0, 0.0] 
22 13 [0.0, 0.0, 0.0] 
22 14 [0.0, 0.0, 0.0] 
22 15 [0.18610644 0.40376303 0.41013053] 
18 12 [0.0, 0.0, 0.0] 
18 13 [0.0, 0.0, 0.0] 
18 14 [0.0, 0.0, 0.0] 
18 15 [0.09306242 0.42822279 0.47871479] 
5 12 [0.05976094 0.45941965 0.48081941] 
5 13 [0.0, 0.0, 0.0] 
5 14 [0.1645405  0.46956711 0.36589239] 
5 15 [0.0, 0.0, 0.0] 
23 12 [0.0, 0.0, 0.0] 
23 13 [0.0, 0.0, 0.0] 
23 14 [0.25583149 0.42466905 0.31949946] 
23 15 [0.15724224 0.47420248 0.36855529] 
13 12 [0.28896561 0.43806158 0.2729728 ] 
13 13 [0.0, 0.0, 0.0] 
13 14 [0.0, 0.0, 0.0] 
13 15 [0.07117079 0.44124736 0.48758184] 
20 12 [0.07981638 0.43976218 0.48042144] 
20 13 [0.0, 0.0, 0.0] 
20 14 [0.55693035 0.32308644 0.11998321] 
20 15 [0.40681248 0.32518431 0.26800321] 
24 12 [0.74812322 0.18774951 0.06412727] 
24 13 [0.0, 0.0, 0.0] 
24 14 [0.24467379 0.46456822 0.29075799] 
24 15 [0.31719569 0.43837703 0.24442728] 
25 12 [0.34248956 0.40138705 0.25612339] 
25 13 [0.0, 0.0, 0.0] 
25 14 [0.318574   0.41917625 0.26224975] 
25 15 [0.12726991 0.42198594 0.45074415] 
26 12 [0.0, 0.0, 0.0] 
26 13 [0.0, 0.0, 0.0] 
26 14 [0.0, 0.0, 0.0] 
26 15 [0.05735962 0.45648943 0.48615096] 
7 12 [0.0, 0.0, 0.0] 
7 13 [0.0, 0.0, 0.0] 
7 14 [0.20671017 0.42200471 0.37128511] 
7 15 [0.0, 0.0, 0.0] 
8 12 [0.0, 0.0, 0.0] 
8 13 [0.0, 0.0, 0.0] 
8 14 [0.18499489 0.4145203  0.40048481] 
8 15 [0.17205661 0.41033027 0.41761312] 
27 12 [0.0, 0.0, 0.0] 
27 13 [0.14301837 0.40626742 0.45071421] 
27 14 [0.232533   0.39950393 0.36796307] 
27 15 [0.0, 0.0, 0.0] 
16 16 [0.20638126 0.39522753 0.39839121] 
16 17 [0.06607723 0.44638041 0.48754236] 
16 18 [0.24732375 0.42038375 0.33229251] 
16 19 [0.15647985 0.42558549 0.41793466] 
0 16 [0.0719503  0.45431074 0.47373896] 
0 17 [0.12779698 0.45069442 0.42150861] 
0 18 [0.04795431 0.46820437 0.48384132] 
0 19 [0.08975522 0.45568977 0.45455501] 
28 16 [0.07222232 0.44063104 0.48714665] 
