Fred Astaire
Lauren Bacall
Brigitte Bardot
John Belushi
Ingmar Bergman
Humphrey Bogart
Marlon Brando
Richard Burton
Gary Cooper
Bette Davis
Doris Day
Olivia de Havilland
James Dean
Georges Delerue
Marlene Dietrich
Kirk Douglas
Federico Fellini
Henry Fonda
Joan Fontaine
Clark Gable
Judy Garland
John Gielgud
Jerry Goldsmith
Cary Grant
Alec Guinness
Rita Hayworth
Audrey Hepburn
Katharine Hepburn
Charlton Heston
Alfred Hitchcock
William Holden
James Horner
Buster Keaton
Gene Kelly
Grace Kelly
Deborah Kerr
Stanley Kubrick
Akira Kurosawa
Alan Ladd
Veronica Lake
Burt Lancaster
Bruce Lee
Sophia Loren
Peter Lorre
Henry Mancini
James Mason
Robert Mitchum
Marilyn Monroe
Alfred Newman
Paul Newman
David Niven
Maureen O'Hara
Laurence Olivier
Gregory Peck
Tyrone Power
Elvis Presley
Anthony Quinn
Edward G. Robinson
Nino Rota
Miklós Rózsa
Randolph Scott
Frank Sinatra
Max Steiner
James Stewart
Elizabeth Taylor
Gene Tierney
Spencer Tracy
François Truffaut
Franz Waxman
John Wayne
Raquel Welch
Orson Welles
Natalie Wood
Victor Young
Li Gong
Armin Mueller-Stahl
John Cleese
Brad Pitt
Woody Allen
Gillian Anderson
Jennifer Aniston
Patricia Arquette
Dan Aykroyd
Kevin Bacon
Fairuza Balk
Antonio Banderas
Adrienne Barbeau
Drew Barrymore
Kim Basinger
Luc Besson
Kenneth Branagh
Matthew Broderick
Pierce Brosnan
Sandra Bullock
Steve Buscemi
Nicolas Cage
James Cameron
Neve Campbell
John Carpenter
Tia Carrere
Jim Carrey
Phoebe Cates
Charles Chaplin
George Clooney
Jennifer Connelly
Sean Connery
Kevin Costner
Wes Craven
Russell Crowe
Tom Cruise
Jamie Lee Curtis
John Cusack
Claire Danes
Geena Davis
Robert De Niro
Johnny Depp
Leonardo DiCaprio
Cameron Diaz
Michael Douglas
David Duchovny
Clint Eastwood
Erika Eleniak
Cary Elwes
Ralph Fiennes
Colin Firth
Harrison Ford
Jodie Foster
Michael J. Fox
Morgan Freeman
Richard Gere
Mel Gibson
Whoopi Goldberg
Jeff Goldblum
Linda Hamilton
Tom Hanks
Teri Hatcher
Ethan Hawke
Salma Hayek
Anne Heche
Dustin Hoffman
Anthony Hopkins
Ron Howard
Helen Hunt
Elizabeth Hurley
Samuel L. Jackson
Tommy Lee Jones
Milla Jovovich
Ashley Judd
Harvey Keitel
Nicole Kidman
